stock_code,company_name,corp_code,industry_code,industry,status,collected_years,diagnostics
000140,하이트진로홀딩스,00148993,64992,Unclassified,added_partial,4,2021: 표준 재무제표 API 응답 없음
001890,아이파크영창,00141282,33201,Manufacturing,added_partial,2,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음
001970,에스지신성건설,00173661,41221,Construction,added_partial,2,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음
002270,롯데푸드,00120508,10422,Manufacturing,added_partial,2,2022: 표준 재무제표 API 응답 없음; 2023: 표준 재무제표 API 응답 없음; 2024: 표준 재무제표 API 응답 없음
005190,동성화학,00116356,201,Manufacturing,added_partial,1,2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음; 2023: 표준 재무제표 API 응답 없음; 2024: 표준 재무제표 API 응답 없음
005980,성지건설,00133238,41221,Construction,added_partial,3,2023: 표준 재무제표 API 응답 없음; 2024: 표준 재무제표 API 응답 없음
007630,폴루스바이오팜,00167280,461,Wholesale/Retail,added_partial,2,2022: 표준 재무제표 API 응답 없음; 2023: 표준 재무제표 API 응답 없음; 2024: 표준 재무제표 API 응답 없음
008120,엠소닉,00124577,26,Manufacturing,added_partial,2,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음
010090,이마트에브리데이,00164308,47121,Wholesale/Retail,added_partial,1,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음; 2024: 표준 재무제표 API 응답 없음
011400,아진카인텍,00173069,30320,Manufacturing,added_partial,2,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음
011810,STX,00138297,46800,Wholesale/Retail,added_partial,4,"2024: 필수 계정 자동 매칭 실패; 누락 필수 계정=gross_profit; 계정명 샘플=선급금, 매출채권, 단기비금융자산, 매각예정비유동자산, 현금및현금성자산, 재고자산, 단기금융자산, 기타채권, 비유동자산, 장기선급금, 장기금융자산, 장기매출채권, 이연법인세자산, 무형자산, 관계기업 및 공동기업에 대한 지분, 기타비유동자산, 유형자산, 자본총계"
012210,삼미금속,00125664,25912,Manufacturing,added_partial,2,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음
012580,신세계톰보이,00132488,4741,Wholesale/Retail,added_partial,2,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음
012700,리드코프,00117708,46712,Wholesale/Retail,added_partial,1,"2020: 필수 계정 자동 매칭 실패; 누락 필수 계정=gross_profit; 계정명 샘플=I. 유동자산, 당기법인세자산, II. 비유동자산, 장기금융리스채권, 기타금융자산, 기타포괄손익-공정가치 측정 금융자산, 유형자산, 사용권자산, 무형자산, 투자부동산, 이연법인세자산, 현금및현금성자산, III. 금융업자산, 단기금융상품, 당기손익-공정가치측정금융자산, 대출채권, 기타자산, 관계기업투자주식; 2021: 필수 계정 자동 매칭 실패; 누락 필수 계정=gross_profit; 계정명 샘플=I. 유동자산, 당기법인세자산, II. 비유동자산, 장기금융리스채권, 기타금융자산, 당기손익-공정가치 측정 금융자산, 기타포괄손익-공정가치 측정 금융자산, 유형자산, 사용권자산, 무형자산, 투자부동산, 현금및현금성자산, 이연법인세자산, III. 금융업자산, 단기금융상품, 대출채권, 파생상품자산, 기타자산; 2022: 필수 계정 자동 매칭 실패; 누락 필수 계정=gross_profit; 계정명 샘플=I. 유동자산, 당기법인세자산, II. 비유동자산, 장기금융리스채권, 기타금융자산, 당기손익-공정가치측정금융자산, 기타포괄손익-공정가치측정금융자산, 관계기업투자주식, 유형자산, 사용권자산, 무형자산, 현금및현금성자산, 투자부동산, 이연법인세자산, III. 금융업자산, 단기금융상품, 대출채권, 기타상각후원가측정금융자산; 2023: 필수 계정 자동 매칭 실패; 누락 필수 계정=gross_profit; 계정명 샘플=기타포괄손익-공정가치측정금융자산, 대출채권, 기타자산, 관계기업투자주식, 유형자산, 사용권자산, 무형자산, 기타금융자산, 이연법인세자산, 당기손익-공정가치측정금융자산, 매각예정자산, 파생상품자산, 당기법인세자산, 기타상각후원가측정금융자산, 금융리스채권, 자산 총계, I. 유동자산, 매출채권"
017860,DS단석,00108612,204,Manufacturing,added_partial,2,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음
018700,졸스,00122205,464,Wholesale/Retail,added_partial,4,"2023: 필수 계정 자동 매칭 실패; 누락 필수 계정=gross_profit; 계정명 샘플=현금및현금성자산, 계약자산, 당기법인세자산, 재고자산, 기타유동자산, 기타유동금융자산, 기타유동채권, 비유동자산, 기타비유동채권, 무형자산, 투자부동산, 관계기업투자, 기타비유동자산, 기타비유동금융자산, 유형자산, 자본총계, 지배기업의 소유주지분, 기타포괄손익누계액"
039130,하나투어,00269940,75210,Business Services,added_partial,4,"2022: 필수 계정 자동 매칭 실패; 누락 필수 계정=gross_profit; 계정명 샘플=유동자산, 기타금융자산, 당기법인세자산, 매각예정자산, 당기손익-공정가치측정금융자산, 비유동자산, 기타포괄손익-공정가치측정금융자산, 공동기업 및 관계기업투자자산, 장기기타채권, 장기금융리스채권, 현금및현금성자산, 투자부동산, 유형자산, 무형자산, 사용권자산, 이연법인세자산, 기타비유동자산, 자산총계"
042420,네오위즈홀딩스,00266952,582,Information/Communication,added_partial,4,"2022: 필수 계정 자동 매칭 실패; 누락 필수 계정=gross_profit; 계정명 샘플=유동자산, 매출채권및기타채권, 공동기업및관계기업투자, 유형자산, 사용권자산, 투자부동산, 무형자산, 금융자산, 기타자산, 이연법인세자산, 자산총계, 현금및현금성자산, 유동부채, 매입채무및기타채무, 금융부채, 리스부채, 당기법인세부채, 충당부채"
044990,에이치엔에스하이텍,00311216,262,Manufacturing,added_partial,2,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음
055550,신한지주,00382199,64992,Unclassified,added_partial,2,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음
059270,해성에어로보틱스,00453442,259,Manufacturing,added_partial,4,2020: 표준 재무제표 API 응답 없음
062040,산일전기,00366438,28112,Manufacturing,added_partial,1,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음; 2023: 표준 재무제표 API 응답 없음
064400,LG씨엔에스,00139834,62021,Information/Communication,added_partial,2,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음
067370,선바이오,00407036,212,Manufacturing,added_partial,3,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음
068100,케이웨더,00426828,291,Manufacturing,added_partial,2,2020: 표준 재무제표 API 응답 없음; 2021: 표준 재무제표 API 응답 없음; 2022: 표준 재무제표 API 응답 없음
