year,stock_code,company_name,industry,industry_code,revenue,receivables,gross_profit,operating_income,total_assets,current_assets,ppe,total_liabilities,net_income,operating_cash_flow,matched_accounts,missing_optional_accounts
2019,000020,동화약품,Manufacturing,212.0,307150025786.0,79441838823.0,121731711195.0,9917746256.0,376028553041.0,235456988153.0,92308556874.0,75153958643.0,9393854731.0,13284966205.0,,
2020,000020,동화약품,Manufacturing,212.0,272075383799.0,61425921678.0,138665954312.0,23153371156.0,433807800192.0,222743490424.0,125177158166.0,91125559753.0,28715102080.0,52228225089.0,,
2021,000020,동화약품,Manufacturing,212.0,293018112028.0,60866331932.0,149346987737.0,22496350976.0,447804486939.0,220198640064.0,139673538912.0,87671267145.0,19582802208.0,36031211868.0,,
2022,000020,동화약품,Manufacturing,212.0,340426327300.0,66127003896.0,180990260022.0,29915077882.0,461136459052.0,227527470560.0,147764235316.0,82463208091.0,21591210925.0,29220766689.0,,
2023,000020,동화약품,Manufacturing,212.0,361108562008.0,73792040829.0,190415846084.0,18775880121.0,564972408621.0,237700038220.0,169521972249.0,157916042874.0,28237045586.0,29166607898.0,,
2024,000020,동화약품,Manufacturing,212.0,464874735245.0,100238728209.0,214257761150.0,13411192945.0,619634925512.0,237806254928.0,197346335234.0,217959805338.0,2146096510.0,-4003243920.0,,
2019,000040,KR모터스,Manufacturing,319.0,132579261122.0,11860217734.0,-987674472.0,-24650440438.0,144081159835.0,52699087131.0,71646918200.0,108871143114.0,-41041685086.0,-7078682177.0,,
2020,000040,KR모터스,Manufacturing,319.0,117834375061.0,12875254817.0,19866253271.0,1219023916.0,155873460967.0,60970592935.0,76245073768.0,106028407315.0,-11486011938.0,8847016170.0,,
2021,000040,KR모터스,Manufacturing,319.0,133510437922.0,16463996117.0,17682644778.0,-2697618022.0,168436811482.0,69662862171.0,80548239302.0,118211175186.0,-11924557643.0,-10038255574.0,,
2022,000040,KR모터스,Manufacturing,319.0,117058740510.0,13928437214.0,17030523907.0,-6234392973.0,149185245583.0,60741213420.0,79137685138.0,109161230426.0,-13001279643.0,-2410237322.0,,
2023,000040,KR모터스,Manufacturing,319.0,78406266627.0,6233741189.0,4767242404.0,-17856852211.0,138570416599.0,48971232724.0,70212817181.0,116165786012.0,-21026668952.0,-8763355053.0,,
2024,000040,KR모터스,Manufacturing,319.0,16024969823.0,1518326379.0,-258143525.0,-4937030424.0,85272527872.0,11944057793.0,64504114801.0,52629712095.0,-14222283251.0,-5153969934.0,,
2019,000050,경방,Wholesale/Retail,47119.0,343892084610.0,37797870295.0,99496064254.0,32020529934.0,1370742491338.0,264861015657.0,145683127585.0,629189292265.0,43621630599.0,66875285401.0,,
2020,000050,경방,Wholesale/Retail,47119.0,329224740782.0,35488550916.0,96826102588.0,21853996547.0,1264902051181.0,117330818266.0,133534163351.0,522972243564.0,13025702736.0,33635651452.0,,
2021,000050,경방,Wholesale/Retail,47119.0,383357144805.0,55074834640.0,136585547913.0,53796815200.0,1270805118229.0,125501061907.0,121326174275.0,518658698167.0,22281879937.0,20910159298.0,,
2022,000050,경방,Wholesale/Retail,47119.0,389227582838.0,37503348283.0,126187836998.0,31895306272.0,1248318313535.0,149882373163.0,109464951581.0,493309854178.0,4415249761.0,29255425003.0,,
2023,000050,경방,Wholesale/Retail,47119.0,393518958996.0,49672777723.0,111791820213.0,15968826403.0,1206860950940.0,147155592912.0,288840134438.0,468815407005.0,-13452219151.0,46197442385.0,,
2024,000050,경방,Wholesale/Retail,47119.0,397276756397.0,52912278168.0,124954100582.0,33449462550.0,1214347475924.0,145868325619.0,282915671561.0,454721013440.0,23594327570.0,59309423358.0,,
2019,000080,하이트진로,Manufacturing,11122.0,2035063966997.0,377764164991.0,871842816316.0,88246563619.0,3270859605479.0,782267638560.0,2052109075114.0,2237663548924.0,-42394951310.0,28251765918.0,,
2020,000080,하이트진로,Manufacturing,11122.0,2256322945848.0,347409191948.0,975017835998.0,198478557062.0,3297783698841.0,899379632205.0,1997339333828.0,2223505552748.0,86628492346.0,382792589955.0,,
2021,000080,하이트진로,Manufacturing,11122.0,2202903850371.0,348980890881.0,926435104460.0,174111104900.0,3631051439683.0,1304322155414.0,1953512919768.0,2537892111011.0,71771637523.0,622266085979.0,,
2022,000080,하이트진로,Manufacturing,11122.0,2497554821448.0,397948993501.0,1063236992385.0,190571249139.0,3333438311387.0,1054944220365.0,1924907542758.0,2172409936540.0,86816258840.0,-74014170105.0,,
2023,000080,하이트진로,Manufacturing,11122.0,2520181551629.0,382624859197.0,1114002040244.0,123919983380.0,3358347205530.0,1067666618640.0,1934102349481.0,2242471577188.0,35511119931.0,164419298234.0,,
2024,000080,하이트진로,Manufacturing,11122.0,2599183408023.0,313127633885.0,1185237389627.0,208141871425.0,3441538598928.0,1023166046028.0,2078804113041.0,2292042901576.0,95735005249.0,294626072541.0,,
2019,000100,유한양행,Manufacturing,212.0,1480353606936.0,397149391682.0,430851173630.0,12535759291.0,2117200258200.0,1116950744221.0,327499212721.0,467208886676.0,36612325771.0,65985413049.0,,
2020,000100,유한양행,Manufacturing,212.0,1619865302675.0,442703668871.0,558422517544.0,84255098219.0,2393522100926.0,1195516580490.0,325882777381.0,547019907073.0,190401937316.0,28830248876.0,,
2021,000100,유한양행,Manufacturing,212.0,1687810317744.0,461094533519.0,524650529278.0,48596120264.0,2463811804950.0,1224097103095.0,331181630724.0,527922717347.0,99126677873.0,99000468381.0,,
2022,000100,유한양행,Manufacturing,212.0,1775846942745.0,496683358416.0,518201541933.0,36028967211.0,2472728072149.0,1188897717371.0,354992804093.0,464921702703.0,90592526174.0,99528971405.0,,
2023,000100,유한양행,Manufacturing,212.0,1858983759666.0,558981117083.0,565863818159.0,56759795062.0,2814070521926.0,1256459307871.0,522912726118.0,712337878463.0,134031517424.0,144128102312.0,,
2024,000100,유한양행,Manufacturing,212.0,2067791451854.0,609128137239.0,689386389746.0,54880319609.0,2942048836634.0,1360261256866.0,598147315144.0,791378826075.0,55163455235.0,54601585042.0,,
2019,000120,CJ대한통운,Transportation,493.0,10415108625820.0,1377217811504.0,972590919308.0,307186346174.0,9110016110171.0,2322199311011.0,3518957879624.0,5454770837946.0,50889855210.0,849229005556.0,,
2020,000120,CJ대한통운,Transportation,493.0,10781127150206.0,1420450432670.0,1001171545623.0,325337561292.0,9643498959607.0,2538547347452.0,3496200701892.0,5603556698067.0,142623241320.0,572347643891.0,,
2021,000120,CJ대한통운,Transportation,493.0,11343651787492.0,1371077751375.0,1071328065207.0,343880765667.0,8993928516384.0,2348222541961.0,3312064212910.0,4977570577451.0,158279696245.0,344143274398.0,,
2022,000120,CJ대한통운,Transportation,493.0,12130712862374.0,1422739126795.0,1186006559171.0,411786887242.0,9693299818264.0,2956459492592.0,3364173934235.0,5658991479602.0,196821784424.0,622939080023.0,,
2023,000120,CJ대한통운,Transportation,493.0,11767893663269.0,1433160224550.0,1299127546139.0,480234863157.0,9357587266747.0,2488306558137.0,3327912582905.0,5314491023876.0,242876054885.0,836599672323.0,,
2024,000120,CJ대한통운,Transportation,493.0,12116761147160.0,1600260148395.0,1386661508536.0,530663067133.0,9743855522383.0,2783266786865.0,3323597366657.0,5518255667581.0,268320297629.0,606203425256.0,,
2019,000150,두산,Manufacturing,26221.0,18446492810268.0,2523770217794.0,3000787713617.0,1103323347274.0,29134709609958.0,11008912806826.0,7953359055167.0,22531061298279.0,313824054551.0,784166127919.0,,
2020,000150,두산,Manufacturing,26221.0,17080748851706.0,2255531445233.0,2683293042792.0,530141457498.0,30117622955500.0,12598323857273.0,6982497957947.0,22408094225620.0,-748000892784.0,126536367869.0,,
2021,000150,두산,Manufacturing,26221.0,13204153075980.0,1200207123894.0,2242466533859.0,945931226947.0,26009852171749.0,9895281692159.0,5963449229467.0,17512799235250.0,656730965019.0,743214641209.0,,
2022,000150,두산,Manufacturing,26221.0,16995760103010.0,1895477518134.0,2838047017235.0,1126028726422.0,26315352623211.0,9526315384836.0,6273316148740.0,16017536857154.0,-581168717784.0,533183466969.0,,
2023,000150,두산,Manufacturing,26221.0,19130129881903.0,1665733239617.0,3245069266938.0,1436262204451.0,28286808651585.0,11446327758199.0,6509435168360.0,17080070105878.0,272073643932.0,1908708279056.0,,
2024,000150,두산,Manufacturing,26221.0,18132874000000.0,1718368000000.0,2962142000000.0,1003759000000.0,30143063000000.0,11912646000000.0,7012548000000.0,18253581000000.0,302227000000.0,307830000000.0,,
2019,000180,성창기업지주,Professional Services,71531.0,151041606849.0,28390964890.0,19833250317.0,-2951399189.0,703302244198.0,80226375450.0,596775989826.0,177896782203.0,-10875066038.0,8739061531.0,,
2020,000180,성창기업지주,Professional Services,71531.0,170916583169.0,32184565021.0,32397207251.0,8033442422.0,707392786834.0,78708381136.0,597750689199.0,174455181975.0,5064139080.0,15862944502.0,,
2021,000180,성창기업지주,Professional Services,71531.0,197940313061.0,29459706309.0,36429693818.0,10471849670.0,703740104842.0,73960214223.0,600668596969.0,164488267623.0,5938031129.0,18277236469.0,,
2022,000180,성창기업지주,Professional Services,71531.0,227519697624.0,41323424127.0,19829342566.0,-11487135610.0,820314254965.0,94243757784.0,693764103079.0,224541467009.0,-13134358819.0,-26537167634.0,,
2023,000180,성창기업지주,Professional Services,71531.0,166253799305.0,25896016677.0,13037482143.0,-16701274741.0,769067174916.0,57333168068.0,678400771556.0,195769130917.0,-24022292887.0,11952327843.0,,
2024,000180,성창기업지주,Professional Services,71531.0,143105590875.0,20099403196.0,21288086193.0,-7293464621.0,719893318041.0,50986246413.0,640522195633.0,141518712667.0,-3623156326.0,98037317.0,,
2019,000210,DL,Manufacturing,20111.0,9700078891564.0,1333415713904.0,1657571196950.0,1130120991411.0,13445224177772.0,6739682949664.0,2017340959317.0,6708517368302.0,710307661773.0,952207650153.0,,
2020,000210,DL,Manufacturing,20111.0,1566148811684.0,247341005802.0,314349585793.0,119049765679.0,13901859840255.0,9327817394762.0,1457813307191.0,10690535919843.0,572657162958.0,1366185205572.0,,
2021,000210,DL,Manufacturing,20111.0,2358774796779.0,321575391061.0,421456136571.0,193162085397.0,8180715293855.0,2512731845125.0,1508445024103.0,3793988663859.0,728618667120.0,300778140679.0,,
2022,000210,DL,Manufacturing,20111.0,5174950425108.0,678929254596.0,1009091929855.0,287459456441.0,12018993889708.0,3002744413405.0,3600621633719.0,7401228917375.0,101846515303.0,227911058323.0,,
2023,000210,DL,Manufacturing,20111.0,5017815821242.0,693720844272.0,926091480177.0,150696391721.0,12119563559885.0,2818251796605.0,3962864416600.0,7586162395568.0,-120978168525.0,325036281406.0,,
2024,000210,DL,Manufacturing,20111.0,5615368498981.0,697160850474.0,1240248378708.0,412518392958.0,12535315407584.0,2878649711744.0,4220556922616.0,7749224680441.0,94839002886.0,557104486660.0,,
2019,000220,유유제약,Manufacturing,212.0,90877644152.0,20500097541.0,46610315263.0,8074727045.0,137718626620.0,65053890378.0,62456128094.0,47173960036.0,5563342662.0,13185371371.0,,
2020,000220,유유제약,Manufacturing,212.0,98119846404.0,19907536874.0,45268954615.0,6270927155.0,154901006984.0,64466554695.0,77107137168.0,37864565521.0,2412605436.0,-2669008815.0,,
2021,000220,유유제약,Manufacturing,212.0,115655484997.0,22793030277.0,45335385325.0,1200168223.0,192985287597.0,98887921935.0,79672547614.0,64300209429.0,-920289067.0,4508660896.0,,
2022,000220,유유제약,Manufacturing,212.0,138881056346.0,24816286913.0,53313143638.0,-592113629.0,195205072788.0,96357746320.0,80607347335.0,71831031376.0,-4425392926.0,-6229000581.0,,
2023,000220,유유제약,Manufacturing,212.0,137209588673.0,24454543644.0,48896608384.0,364537115.0,198213526767.0,101596545868.0,80627034848.0,77857871884.0,-5540581558.0,420857136.0,,
2024,000220,유유제약,Manufacturing,212.0,133147218082.0,19730512619.0,51704646284.0,11697341742.0,207687399005.0,101947330682.0,89099422009.0,72624048180.0,10289303485.0,24950108380.0,,
2019,000250,삼천당제약,Manufacturing,212.0,186602477367.0,38511992636.0,110655761515.0,25210116894.0,290150966088.0,162492554311.0,57334228690.0,66954254388.0,19599719713.0,30603122171.0,,
2020,000250,삼천당제약,Manufacturing,212.0,166862333786.0,36215901469.0,93999919342.0,5522905191.0,317078865822.0,166527650544.0,63275507848.0,59382900115.0,7494985952.0,3249732702.0,,
2021,000250,삼천당제약,Manufacturing,212.0,167274903875.0,34229690657.0,83078213681.0,-15293087301.0,343947668188.0,168919766042.0,74112174091.0,93647148966.0,-10360886456.0,-7706965272.0,,
2022,000250,삼천당제약,Manufacturing,212.0,177335410013.0,37939733385.0,89994651959.0,12224651499.0,373275926268.0,157749140159.0,87212077834.0,127634262627.0,8831820464.0,13278998700.0,,
2023,000250,삼천당제약,Manufacturing,212.0,192668515628.0,34416171858.0,96966293438.0,9559814333.0,408021822012.0,163905937639.0,90008845500.0,109561750075.0,-4187753548.0,23428068368.0,,
2024,000250,삼천당제약,Manufacturing,212.0,210923804522.0,58138662540.0,99662428667.0,2641971274.0,519772210839.0,242532347978.0,103595078433.0,170368051944.0,-5078046827.0,21770705374.0,,
2019,000270,기아,Manufacturing,30121.0,58145959000000.0,2154695000000.0,9379389000000.0,2009680000000.0,55344798000000.0,21555416000000.0,15746675000000.0,26366660000000.0,1826659000000.0,3610658000000.0,,
2020,000270,기아,Manufacturing,30121.0,59168096000000.0,1819008000000.0,9945532000000.0,2066457000000.0,60490443000000.0,26093382000000.0,15579715000000.0,30598771000000.0,1487585000000.0,5423896000000.0,,
2021,000270,기아,Manufacturing,30121.0,69862366000000.0,1787698000000.0,12925201000000.0,5065685000000.0,66849997000000.0,29205483000000.0,15583831000000.0,31937441000000.0,4760311000000.0,7359670000000.0,,
2022,000270,기아,Manufacturing,30121.0,86559029000000.0,2237444000000.0,18023019000000.0,7233120000000.0,73710965000000.0,34147147000000.0,15383383000000.0,34367884000000.0,5408976000000.0,9333186000000.0,,
2023,000270,기아,Manufacturing,30121.0,99808420000000.0,2475015000000.0,22628847000000.0,11607873000000.0,80627826000000.0,37466302000000.0,16104174000000.0,34069591000000.0,8777817000000.0,11296526000000.0,,
2024,000270,기아,Manufacturing,30121.0,107448752000000.0,3561295000000.0,24770771000000.0,12667139000000.0,92755874000000.0,41797457000000.0,18279448000000.0,36915565000000.0,9775005000000.0,12564368000000.0,,
2019,000300,DH오토넥스,Manufacturing,303.0,457263303244.0,57500722145.0,44394550599.0,16306666230.0,1087246344837.0,141965850345.0,106468333551.0,927815166853.0,18296510133.0,13679825618.0,,
2020,000300,DH오토넥스,Manufacturing,303.0,452928402735.0,77002319033.0,50734844189.0,14542186822.0,473214226600.0,199202041552.0,101977744707.0,352222461499.0,-5738069863.0,20066183435.0,,
2021,000300,DH오토넥스,Manufacturing,303.0,511973797943.0,98198512796.0,50808836218.0,13157340613.0,594393688298.0,319733925042.0,123052969750.0,455486600368.0,1985111466.0,-13743011381.0,,
2022,000300,DH오토넥스,Manufacturing,303.0,536676753422.0,60663933582.0,66501710696.0,22205091521.0,543210276853.0,244993953070.0,96227816959.0,431957816260.0,-24285822987.0,15443553363.0,,
2023,000300,DH오토넥스,Manufacturing,303.0,32790275265.0,7007880804.0,-8139892296.0,-29945679316.0,74273121353.0,22832186627.0,14084311250.0,202256217483.0,-177163487018.0,16738336247.0,,
2024,000300,DH오토넥스,Manufacturing,303.0,32380378302.0,11244410243.0,1129658005.0,-8564101590.0,66061636175.0,26813922849.0,14433319107.0,39899647221.0,113530380434.0,-2455437285.0,,
2019,000390,SP삼화,Manufacturing,20411.0,540276699849.0,137241213339.0,97396964543.0,11248669648.0,560640699578.0,276696578331.0,246154461153.0,278473245224.0,3893556444.0,25778649228.0,,
2020,000390,SP삼화,Manufacturing,20411.0,551718832662.0,143397938975.0,105802288650.0,15020454305.0,594292973764.0,305492601886.0,253148055730.0,301977866527.0,6482790593.0,33500444556.0,,
2021,000390,SP삼화,Manufacturing,20411.0,631605900694.0,148963798770.0,95489155525.0,823659928.0,612097736166.0,303516203271.0,257180552490.0,316175727485.0,-2425671290.0,-27003473097.0,,
2022,000390,SP삼화,Manufacturing,20411.0,646039531651.0,148742527661.0,120120493698.0,19854394322.0,587186274133.0,288113092021.0,248352838547.0,287461316451.0,5498047424.0,32223297727.0,,
2023,000390,SP삼화,Manufacturing,20411.0,631381875774.0,150073055433.0,132429575254.0,25826733514.0,590613614037.0,298301302214.0,237566067341.0,281560002691.0,16130730290.0,43574446009.0,,
2024,000390,SP삼화,Manufacturing,20411.0,628348259134.0,143259492420.0,123902558853.0,18981518300.0,619315087530.0,309605425089.0,255692612652.0,289704209848.0,15473334744.0,30175889424.0,,
2019,000430,대원강업,Manufacturing,303.0,960215102441.0,154612355801.0,95955825782.0,26938915914.0,1047989108475.0,321885481351.0,635269952509.0,460690033819.0,21198892867.0,6162416971.0,,
2020,000430,대원강업,Manufacturing,303.0,861230959669.0,159490802260.0,72527676256.0,5212549273.0,1017866946915.0,329646560345.0,585818011088.0,445770949780.0,-2670014389.0,39584998356.0,,
