stock_code,company_name,market,market_cap,shares_outstanding,Close,Dept,MarketId
0070X0,에스테크엠,KONEX,14088300000,1510000,9330,일반기업부,KNX
052960,태양3C,KONEX,16518323640,4887078,3380,일반기업부,KNX
059180,엔더블유시,KONEX,23780552750,5314090,4475,일반기업부,KNX
066830,제노텍,KONEX,6743944200,5667180,1190,일반기업부,KNX
076340,지에이이노더스,KONEX,19972986000,4871460,4100,일반기업부,KNX
086220,광동헬스바이오,KONEX,12675177135,12687865,999,일반기업부,KNX
092590,럭스피아,KONEX,5468323500,7291098,750,일반기업부,KNX
093510,엔지브이아이,KONEX,4045440000,6020000,672,일반기업부,KNX
102950,아하,KONEX,22057918943,13121903,1681,일반기업부,KNX
103660,씨앗,KONEX,11427177429,6017471,1899,일반기업부,KNX
112190,KC산업,KONEX,32645866800,27204889,1200,일반기업부,KNX
114920,대주이엔티,KONEX,11379960000,3469500,3280,일반기업부,KNX
116100,태양기계,KONEX,4047352384,7439986,544,일반기업부,KNX
121060,유니포인트,KONEX,4918512501,5193783,947,일반기업부,KNX
122830,원포유,KONEX,28723490845,32751985,877,일반기업부,KNX
136660,큐엠씨,KONEX,3541425000,2360950,1500,일반기업부,KNX
140610,엔솔바이오사이언스,KONEX,176669008560,13889073,12720,일반기업부,KNX
140660,위월드,KONEX,2173858248,2487252,874,일반기업부,KNX
149010,아이케이세미콘,KONEX,10296000000,3120000,3300,일반기업부,KNX
162120,루켄테크놀러지스,KONEX,36147390480,11156602,3240,일반기업부,KNX
169670,코스텍시스템,KONEX,10039403500,2868401,3500,일반기업부,KNX
176590,코나솔,KONEX,10505489400,5836383,1800,일반기업부,KNX
178600,대동고려삼,KONEX,9255168000,4449600,2080,일반기업부,KNX
179720,머니무브,KONEX,22000144000,2750018,8000,일반기업부,KNX
180060,탑선,KONEX,53001266220,9347666,5670,일반기업부,KNX
185190,수프로,KONEX,9210909125,9238625,997,일반기업부,KNX
189350,코셋,KONEX,9048000000,4800000,1885,일반기업부,KNX
191600,블루탑,KONEX,29847208320,2858928,10440,일반기업부,KNX
199150,데이터스트림즈,KONEX,7683503400,4268613,1800,일반기업부,KNX
199290,바이오프로테크,KONEX,6530076800,16325192,400,일반기업부,KNX
200580,메디쎄이,KONEX,44191296940,3726079,11860,일반기업부,KNX
202960,판도라티비,KONEX,4313440684,11915582,362,일반기업부,KNX
206950,볼빅,KONEX,20961047585,14077265,1489,일반기업부,KNX
207490,에이펙스인텍,KONEX,23760000000,3600000,6600,일반기업부,KNX
208850,이비테크,KONEX,14947325000,2820250,5300,일반기업부,KNX
208890,미래엔에듀파트너,KONEX,3604968000,4005520,900,일반기업부,KNX
212310,오건에코텍,KONEX,7514663025,11834115,635,일반기업부,KNX
215570,크로넥스,KONEX,4973490312,6232444,798,일반기업부,KNX
216400,인바이츠바이오코아,KONEX,7695892370,7711315,998,일반기업부,KNX
217320,썬테크,KONEX,14700000000,1050000,14000,일반기업부,KNX
217880,틸론,KONEX,10512744200,10727290,980,일반기업부,KNX
217910,에스제이켐,KONEX,3665516764,13990522,262,일반기업부,KNX
217950,파마리서치바이오,KONEX,133027032000,4183240,31800,일반기업부,KNX
222670,플럼라인생명과학,KONEX,18692639820,4032932,4635,일반기업부,KNX
223220,로지스몬,KONEX,2246950086,5702919,394,일반기업부,KNX
224760,엔에스컴퍼니,KONEX,10184124500,3939700,2585,일반기업부,KNX
224810,엄지하우스,KONEX,6266400000,4200000,1492,일반기업부,KNX
227420,도부,KONEX,29104050150,38044510,765,일반기업부,KNX
229500,노브메타파마,KONEX,98751550260,12841554,7690,일반기업부,KNX
232530,이엠티,KONEX,288160920000,25614304,11250,일반기업부,KNX
233250,메디안디노스틱,KONEX,13273658400,1746534,7600,일반기업부,KNX
233990,질경이,KONEX,24192801000,16128534,1500,일반기업부,KNX
234070,에이원큐브텍,KONEX,6466493087,6960703,929,일반기업부,KNX
236030,씨알푸드,KONEX,5693329600,2033332,2800,일반기업부,KNX
236340,메디젠휴먼케어,KONEX,5727829300,3014647,1900,일반기업부,KNX
238500,솔루믹스,KONEX,9883469400,20807304,475,일반기업부,KNX
243870,아이티센코어,KONEX,23719574200,2892631,8200,일반기업부,KNX
244880,나눔테크,KONEX,8528980000,5020000,1699,일반기업부,KNX
245450,씨앤에스링크,KONEX,2526356040,1579960,1599,일반기업부,KNX
250030,진코스텍,KONEX,60730593000,2891933,21000,일반기업부,KNX
251280,안지오랩,KONEX,6620585520,3491870,1896,일반기업부,KNX
253610,루트락,KONEX,9960586941,10258071,971,일반기업부,KNX
254160,제이엠멀티,KONEX,17028000000,5160000,3300,일반기업부,KNX
258050,테크트랜스,KONEX,5004531101,11145949,449,일반기업부,KNX
260870,SK시그넷,KONEX,149122259360,21674747,6880,일반기업부,KNX
266170,레드우즈,KONEX,1366092000,1301040,1050,일반기업부,KNX
266350,팡스카이,KONEX,5026568860,12629570,398,일반기업부,KNX
266470,바이오인프라생명과학,KONEX,2758735881,27866019,99,일반기업부,KNX
267080,세븐브로이맥주,KONEX,5769504288,11871408,486,일반기업부,KNX
270210,에스알바이오텍,KONEX,23617982400,1711448,13800,일반기업부,KNX
276240,엘리비젼,KONEX,6107316448,12313138,496,일반기업부,KNX
278990,EMB,KONEX,19355464800,8064777,2400,일반기업부,KNX
279060,이노벡스,KONEX,1127904590,9807866,115,일반기업부,KNX
289170,바이오텐,KONEX,11624239250,3576689,3250,일반기업부,KNX
296160,프로젠,KONEX,43203971990,15375079,2810,일반기업부,KNX
296520,가이아코퍼레이션,KONEX,2809538816,4667008,602,일반기업부,KNX
299480,지앤이헬스케어,KONEX,2530969404,11100743,228,일반기업부,KNX
302920,더콘텐츠온,KONEX,2276179500,4552359,500,일반기업부,KNX
311060,엘에이티,KONEX,28615207090,7872134,3635,일반기업부,KNX
311960,인터로이드,KONEX,4878823752,3062664,1593,일반기업부,KNX
317860,노드메이슨,KONEX,18932936925,4513215,4195,일반기업부,KNX
318660,타임기술,KONEX,7747563600,2152101,3600,일반기업부,KNX
322970,무진메디,KONEX,19566236660,10085689,1940,일반기업부,KNX
327610,펨토바이오메드,KONEX,4993610310,8536086,585,일반기업부,KNX
331660,한국미라클피플사,KONEX,21367500000,5500000,3885,일반기업부,KNX
332190,오션스바이오,KONEX,5172436500,1477839,3500,일반기업부,KNX
336040,타스컴,KONEX,13316836700,5789929,2300,일반기업부,KNX
337840,유엑스엔,KONEX,35837265600,4977398,7200,일반기업부,KNX
341170,퓨쳐메디신,KONEX,5256069295,10533205,499,일반기업부,KNX
346010,타이드,KONEX,4860062000,4860062,1000,일반기업부,KNX
351020,미쥬,KONEX,14504250000,2075000,6990,일반기업부,KNX
354390,바스칸바이오제약,KONEX,22458390400,7018247,3200,일반기업부,KNX
379390,이성씨엔아이,KONEX,15912176000,2841460,5600,일반기업부,KNX
390110,애니메디솔루션,KONEX,2424261750,9697047,250,일반기업부,KNX
402420,켈스,KONEX,3053391900,2348763,1300,일반기업부,KNX
403360,라피치,KONEX,23845683050,3585817,6650,일반기업부,KNX
403810,아이엘로보틱스,KONEX,23452136560,9937346,2360,일반기업부,KNX
413300,티엘엔지니어링,KONEX,3094969350,1351515,2290,일반기업부,KNX
434190,탈로스,KONEX,18386737830,7369434,2495,일반기업부,KNX
446440,에피바이오텍,KONEX,29966358210,2306879,12990,일반기업부,KNX
447690,아이오바이오,KONEX,7375530960,2772756,2660,일반기업부,KNX
448780,마이크로엔엑스,KONEX,2056458240,2677680,768,일반기업부,KNX
456190,큐라켐,KONEX,12648402060,1754286,7210,일반기업부,KNX
456570,아이엠지티,KONEX,56228106720,5264804,10680,일반기업부,KNX
476710,타조이엔터테인먼트,KONEX,20200000000,1000000,20200,일반기업부,KNX
495810,유비씨,KONEX,32800000000,2500000,13120,일반기업부,KNX
496320,본시스템즈,KONEX,1039340379000,1015973,1023000,일반기업부,KNX
